classifier_name,dataset_name,accuracy,,,,,
8,LargeKitchenAppliances,0.947466667,,,,,
8,Lightning7,0.802739726,,,,,
8,Meat,0.983333333,,,,,
8,MedicalImages,0.816447368,,,,,
8,MiddlePhalanxOutlineAgeGroup,0.705844156,,,,,
8,MiddlePhalanxOutlineCorrect,0.845704467,,,,,
8,OliveOil,0.906666667,,,,,
8,OSULeaf,0.973966942,,,,,
8,Phoneme,0.339767932,,,,,
8,Plane,1,,,,,
8,ProximalPhalanxOutlineCorrect,0.907216495,,,,,
8,ProximalPhalanxTW,0.814146341,,,,,
8,ScreenType,0.701066667,,,,,
8,ShapeletSim,0.999444444,,,,,
8,Strawberry,0.978918919,,,,,
8,SwedishLeaf,0.97248,,,,,
8,SyntheticControl,0.996,,,,,
8,ToeSegmentation1,0.946491228,,,,,
8,Trace,1,,,,,
8,UWaveGestureLibraryY,0.807426019,,,,,
8,Wafer,0.999983777,,,,,
8,WordSynonyms,0.776959248,,,,,
8,Worms,0.748051948,,,,,
8,Yoga,0.9462,,,,,
9,Beef,0.78,,,,,
9,BirdChicken,0.9,,,,,
9,Car,0.923333333,,,,,
9,CricketX,0.823846154,,,,,
9,CricketY,0.850512821,,,,,
9,CricketZ,0.855897436,,,,,
9,DistalPhalanxTW,0.708633094,,,,,
9,ECG5000,0.947555556,,,,,
9,FiftyWords,0.837142857,,,,,
9,Fish,0.983428571,,,,,
9,FordA,0.954469697,,,,,
9,FordB,0.925925926,,,,,
9,Haptics,0.556818182,,,,,
9,Herring,0.628125,,,,,
9,InsectWingbeatSound,0.669040404,,,,,
9,ItalyPowerDemand,0.961613217,,,,,
9,LargeKitchenAppliances,0.9448,,,,,
9,Lightning7,0.805479452,,,,,
9,Meat,0.985,,,,,
9,MedicalImages,0.806842105,,,,,
9,MiddlePhalanxOutlineAgeGroup,0.705844156,,,,,
9,MiddlePhalanxOutlineCorrect,0.845704467,,,,,
9,OliveOil,0.9,,,,,
9,OSULeaf,0.971487603,,,,,
9,Phoneme,0.35021097,,,,,
9,Plane,1,,,,,
9,ProximalPhalanxOutlineCorrect,0.912027491,,,,,
9,ProximalPhalanxTW,0.813658537,,,,,
9,ScreenType,0.699466667,,,,,
9,ShapeletSim,0.997777778,,,,,
9,Strawberry,0.978378378,,,,,
9,SwedishLeaf,0.9712,,,,,
9,SyntheticControl,0.996,,,,,
9,ToeSegmentation1,0.943859649,,,,,
9,Trace,1,,,,,
9,UWaveGestureLibraryY,0.803015075,,,,,
9,Wafer,0.999886437,,,,,
9,WordSynonyms,0.768181818,,,,,
9,Worms,0.768831169,,,,,
9,Yoga,0.943266667,,,,,
10,Beef,0.79,,,,,
10,BirdChicken,0.9,,,,,
10,Car,0.92,,,,,
10,CricketX,0.82,,,,,
10,CricketY,0.832564103,,,,,
10,CricketZ,0.844871795,,,,,
10,DistalPhalanxTW,0.709352518,,,,,
10,ECG5000,0.947,,,,,
10,FiftyWords,0.827252747,,,,,
10,Fish,0.987428571,,,,,
10,FordA,0.952121212,,,,,
10,FordB,0.919382716,,,,,
10,Haptics,0.554545455,,,,,
10,Herring,0.6390625,,,,,
10,InsectWingbeatSound,0.666262626,,,,,
10,ItalyPowerDemand,0.96180758,,,,,
10,LargeKitchenAppliances,0.9392,,,,,
10,Lightning7,0.797260274,,,,,
10,Meat,0.986666667,,,,,
10,MedicalImages,0.801052632,,,,,
10,MiddlePhalanxOutlineAgeGroup,0.720779221,,,,,
10,MiddlePhalanxOutlineCorrect,0.835395189,,,,,
10,OliveOil,0.906666667,,,,,
10,OSULeaf,0.969421488,,,,,
10,Phoneme,0.348259494,,,,,
10,Plane,1,,,,,
10,ProximalPhalanxOutlineCorrect,0.90652921,,,,,
10,ProximalPhalanxTW,0.812682927,,,,,
10,ScreenType,0.697333333,,,,,
10,ShapeletSim,0.993333333,,,,,
10,Strawberry,0.975945946,,,,,
10,SwedishLeaf,0.96672,,,,,
10,SyntheticControl,0.995,,,,,
10,ToeSegmentation1,0.938157895,,,,,
10,Trace,1,,,,,
10,UWaveGestureLibraryY,0.797236181,,,,,
10,Wafer,0.999967554,,,,,
10,WordSynonyms,0.753918495,,,,,
10,Worms,0.75974026,,,,,
10,Yoga,0.944166667,,,,,
11,Beef,0.796666667,,,,,
11,BirdChicken,0.935,,,,,
11,Car,0.91,,,,,
11,CricketX,0.734358974,,,,,
11,CricketY,0.737948718,,,,,
11,CricketZ,0.767435897,,,,,
11,DistalPhalanxTW,0.702158273,,,,,
11,ECG5000,0.943133333,,,,,
11,FiftyWords,0.662637363,,,,,
11,Fish,0.963428571,,,,,
11,FordA,0.917878788,,,,,
11,FordB,0.888518519,,,,,
11,Haptics,0.502597403,,,,,
11,Herring,0.6234375,,,,,
11,InsectWingbeatSound,0.512474747,,,,,
11,ItalyPowerDemand,0.961127308,,,,,
11,LargeKitchenAppliances,0.947733333,,,,,
11,Lightning7,0.749315068,,,,,
11,Meat,0.965,,,,,
11,MedicalImages,0.778026316,,,,,
11,MiddlePhalanxOutlineAgeGroup,0.723376623,,,,,
11,MiddlePhalanxOutlineCorrect,0.821993127,,,,,
11,OliveOil,0.91,,,,,
11,OSULeaf,0.969421488,,,,,
11,Phoneme,0.366983122,,,,,
11,Plane,1,,,,,
11,ProximalPhalanxOutlineCorrect,0.907216495,,,,,
11,ProximalPhalanxTW,0.803902439,,,,,
11,ScreenType,0.700266667,,,,,
11,ShapeletSim,0.96,,,,,
11,Strawberry,0.975405405,,,,,
11,SwedishLeaf,0.9616,,,,,
11,SyntheticControl,0.980666667,,,,,
11,ToeSegmentation1,0.887719298,,,,,
11,Trace,1,,,,,
11,UWaveGestureLibraryY,0.699916248,,,,,
11,Wafer,0.999935107,,,,,
11,WordSynonyms,0.554075235,,,,,
11,Worms,0.796103896,,,,,
11,Yoga,0.915433333,,,,,
